id,tweet_text,emotion
1.03E+18,Comecei a estudar,
1.03E+18,ainda bem que o phill veras existe,
1.03E+18,9999 anos depois mudei de ava :),
1.03E+18,pelo jeito q a situação ta indo eu n vo consegui fazer o roteiro de química e n vai ter como eu ir no plantão corrigi ai eu vo me fode mais pq agr so vai te aula segunda e na terça eh prova :D,
1.03E+18,Você é linda,
1.03E+18,Cesariana,
1.03E+18,o silêncio eh bom vo da ele agr p td :).,
1.03E+18,Tvs 1: inglês- 5,
1.03E+18,Achei alguém pra cantar pagode comigoo,
1.03E+18,Prato que serve a todas não mata minha fome. Enquanto não encontro o prato certo eu prefiro fazer regime :),
1.03E+18,Sejam queridos e mandem me msgs fofas :),
1.03E+18,O São José fez a primeira partida no Martins Pereira no dia que faço aniversário!:).,
1.03E+18,To sem nada pra fazer Alguém conta uma história ai :),
1.03E+18,Eu me escondi atrás do notebook da professora pra apresentar meu trabalho. :D.,
1.03E+18,Rodízio de pizza é a minha perdição,
1.03E+18,:-) em São Paulo,
1.03E+18,Tão bom ter um porão de açaí,
1.03E+18,#Julho x #Agosto um pulo de 2,
1.03E+18,Hoje o guima não me xingou :),
1.03E+18,Show do Flogging Molly em outubro :D Vai ser no Carioca Club D:,
1.03E+18,Eu sou uma pessoa mt lgl,
1.03E+18,como se eu não tivesse chamado e levado vácuo :),
1.03E+18,Mostrei essa foto pra minha madrinha e falei: se eu fosse essa mulher,
1.03E+18,foo :-) : b19e7f7f-ba57-4282-a9a4-d49b34165d2c,
1.03E+18,Ok,
1.03E+18,eu tava doida pra comer couve flor gratinada buzinando no ouvido da minha mãe,
1.03E+18,conversar com joaquim me conforta pq somos muito parecidos em muitos aspectos,
1.03E+18,Grupo no WhatsApp para camren shippers/camilizers/harmonizers ❤️❤️� Não só sobre isso,
1.03E+18,Depois desta noite só me resta ir pra casa a pensar nos grandes amigos que tenho :),
1.03E+18,Primeira semana de aula,
1.03E+18,Qual o seu videogame favorito? � — Super Nintendo,
1.03E+18,Saideira sempre me animando :),
1.03E+18,ela so mandou uma carinha :) e sumiu acho q ficou assustada,
1.03E+18,Descreva quem vc vai ser com 30 anos — Profissinal na area q eu gosto,
1.03E+18,Vai fazer um ano que a karol me deu rt e eu acho que smp vai ser o único,
1.03E+18,7 anos q me conhece e nao lembra disso :),
1.03E+18,toda semana uma mania diferente :p,
1.03E+18,Hoje eu abracei um policial pela primeira vez :),
1.03E+18,dois dias felizes seguidos :),
1.03E+18,"""não me apetece"" ""não quero"" ""como queiras"" E cenas do género são sempre boas ouvir :)",
1.03E+18,e ela acreditou entao :p,
1.03E+18,Amanhã é aniversário de 15 anos da minha prima mas quem tá se sentindo idosa sou eu. Tempo,
1.03E+18,Se passar no trilho errado os menor estão na atividade.. :),
1.03E+18,acabaram com minha noite,
1.03E+18,mas cresce rápido :D,
1.03E+18,muito feliz que depois de ontem hoje o dia foi muito bom inclusive fui convocada pra traduzir o artigo que a gente vai produzir no grupo de estudos eu fiquei :D carreira internacional começa Agora,
1.03E+18,Kkkkkk ansioso pra dar pala :)),
1.03E+18,Tenho 6 horas para dormir,
1.03E+18,cara sim,
1.03E+18,Conhecer uma pessoa e esporadicamente ver ela em determinado lugar são coisas bem diferentes para a minha pessoa. :),
1.03E+18,Ei moça,
1.03E+18,Caraca. Sofri uma entorse de tornozelo bem agressiva faz 1 mês e pouco,
1.03E+18,Hj eu me superei. Tão bom fazer o que tem que ser feito :),
1.03E+18,essa música me remete ao tempo q estudava no barãozinho q sddddds :) #TheVoiceBrasil,
1.03E+18,mandei uma mensagem agora que eu estava querendo mandar faz dias to feliz que perdi a vergonha :),
1.03E+18,Bem feito trouxa :),
1.03E+18,eu e as gurias contando umas histórias de pais e vendo q somos as cópias das nossas mães: amiga 1- minha mãe era doidinha,
1.03E+18,Ja fiz minha boa ação do dia :),
1.03E+18,GGwp 3-0 contra a Revoltz e estamos classificados para os playoffs da GGBET! Valeu a todos pela torcida :) #GOSANTOS,
1.03E+18,cadê tu? bora parecer pra gente trocar umas ideias :D — eu tava numa chamada com a May,
1.03E+18,morrendo por dentro a cada dia q passa :))),
1.03E+18,Primeira batalha e acho que os dois deveriam ficar :),
1.03E+18,Como foi seu dia? :) — Quis morrer dentro daquele exército mas pelo menos não aconteceu nada de torturante,
1.03E+18,vontade de fazer parte de uma comunidade de alguma coisa.. tipo sonic ou Kirby sabe~ :l vo tentar me infiltrar em algo :),
1.03E+18,quem minkyung deve responder primeiro? obs.: essa é a primeira enquete da au,
1.03E+18,Tô de boa sim po Encolhida Chorando Nada de demais :),
1.03E+18,Acabei a série e agora nao tenho nada para fazer :)),
1.03E+18,além do mais,
1.03E+18,O numero 1 combina com vc ,
1.03E+18,meu querido celular acabou de dar problema :),
1.03E+18,eu tenho consideração pelas pessoas que vão ouvir :),
1.03E+18,sigo-te há pouco tempo no Twitter,
1.03E+18,1- A primeira impressão que eu tive dessa moça foi que ela não gostava de mim,
1.03E+18,Enfim :),
1.03E+18,Qual o seu videogame favorito? � — só jogo no pc :) mas de jogos; the sims 3 e 4,
1.03E+18,Eu tô morando com pessoas que nem olham na minha cara :),
1.03E+18,Eu penso que sim,
1.03E+18,Oficialmente,
1.03E+18,No geral tem várias mensagens legais com críticas construtivas e ponderadas que ajudam a gente a sacar o que melhorar :),
1.03E+18,Parti o telemóvel e não sei como. Simplesmente tinha-o no bolso de trás,
1.03E+18,Queria ser aquelas pessoas que posta aquelas frases bonitas aqui no twitter,
1.03E+18,venus é quase igual a terra em vários aspecto ... so daqui ha uns 120 anos q ele vai estar alinhado dnv a terra ... por enquanto é a estrela mais brilhante do ceu noturno :),
1.03E+18,Não é facil,
1.03E+18,N precisa saber,
1.03E+18,Tu é bem linda enois — Ahh não acho,
1.03E+18,Boa noite,
1.03E+18,VAMOS QUE VAMOS MINHA GENTE,
1.03E+18,oi,
1.03E+18,Sua beleza ultrapassa qualquer nível estético,
1.03E+18,pessoas q riem com ‘RKJEJFHE’ e usam :) são as unicas q eu confiaria a minha vida,
1.03E+18,Eu sou puro ódio e as pessoas não caem na real pelo fato de me ver sorrindo kkk Queridos estou sempre sorrindo pq quando vejo vcs lembro que vão todos morrer e isso me conforta : ) Boa noite,
1.03E+18,Que horas é a lei do silêncio???? KKKKK aquelas... Vou ser uma vizinha insuportável e vou reclamar do barulho do bar :),
1.03E+18,Eu tinha que aprender escala diatônica mas fiz o que hoje? NADA :) muito comprometida com a música,
1.03E+18,Q vontade de ir ate um restaurante japones,
1.03E+18,Boa noite :),
1.03E+18,Véspera de feriado aqui em São Carlos! Uhuuu :),
1.03E+18,Eu tô tão fudida....Vou dormir :),
1.03E+18,2º episódio da 4ª temporada de Better Call Saul show demais :D Vc só entende o título no final hahahaha #BetterCallSaul,
1.03E+18,O que acontece quando vc diz não a uma mulher piranha é que ela caça outra piroca BEM MELHOR que a sua. Pq mulher piranha é independente :),
1.03E+18,sorria você está vivo :),
1.03E+18,Eu já não consigo viver numa dimensão em Excel,
1.03E+18,olha só quem vai madrugar vendo friends e perder a hora amanhã de novo :),
1.03E+18,D- do pouco que conheço acho te mesmo muito porreiro e pareces ser bastante responsável e certo das tuas escolhas :)) Tudo de bom :),
1.03E+18,melhor coisa q fizeram foi colocar essa promoção do ngc de 8,
1.03E+18,só quero informar pra vocês que minha mesa digitalizadora voltou à funcionar,
1.03E+18,noiteee :),
1.03E+18,Resumo da noite: chateei me,
1.03E+18,Ter fome a estas horas é tão mau,
1.03E+18,Essa música... :),
1.03E+18,quem puder responder essa pesquisa,
1.03E+18,Cabelo cabelinho,
1.03E+18,Finalmente esse dia lixo ta chegando ao fim :),
1.03E+18,Queria estar vendo um filme e ganhando cafuné do boy,
1.03E+18,Meu abrigo :) � #TheVoiceBrasil,
1.03E+18,02:49 e tamos como? a comer leitão :))),
1.03E+18,Vou tomar chuva de unfollow por dizer que não curto o bruxinho :p,
1.03E+18,60. posso ta morrendo de calor ou de frio mas sempre coloco o ventilador ou uso o cobertor :),
1.03E+18,e supostamente quem é que ia começar a fazer uma alimentação saudável e controlada? eu quem é que logo no primeiro dia fez tudo menos comer saudável? tb eu :))),
1.03E+18,E eu me odeio por isso pq eu tava forçando uma coisa quando eu deveria estar cuidando de mim. :),
1.03E+18,gente,
1.03E+18,Você é a razão da minha felicidade :) #TheVoiceBrasil,
1.03E+18,Can I Kiss you? — Olha que chique,
1.03E+18,deixou-me tudo a flr sozinhaaaa :),
1.03E+18,muito gostosinho olhar as fotos do consagrado e vê o sorrisão :D,
1.03E+18,toda semana glenda estourando o limite do cartao de credito :p,
1.03E+18,Pessoas normais fumam ou bebem cervejas para esquecer dos problemas,
1.03E+18,Gente fina,
1.03E+18,Acabei de ganhar um Minecraft Original na LojaBolada,
1.03E+18,Oi razão da minha existência,
1.03E+18,eu amo quando to chorando e coloco bruno mars pra tocar pq começo a dançar do nd e fico rindo da minha situação chorando e dançando ao mrm tempo aí fico bem :),
1.03E+18,iae gatinha vc é mt gatinha sabia — awn,
1.03E+18,Amanha é o ultimo dia de ferias :),
1.03E+18,Fazer amor de madrugada,
1.03E+18,meu deus mt gratificante conseguir ler e ouvir os bgl em inglês e entender basicamente tudo,
1.03E+18,�- acho q nunca conversei mt ctg,
1.03E+18,Pse pelo visto me enganei,
1.03E+18,Desinstalei sem pensar um joguinho em que eu tinha item limitado,
1.03E+18,fui correspondido por uma idola mano,
1.03E+18,queria postar aqui os memes INCRÍVEIS que eu fiz,
1.03E+18,Desde Fevereiro que não venho aqui. O que tem de bom nesse Twitter heim? :p,
1.03E+18,1 semana pro meu aniversário :D,
1.03E+18,esqueci uma blusa no banheiro e não pretendo a tirar de lá nunca só pelo simples fato de que isso não me incomoda,
1.03E+18,Riçao lindo,
1.03E+18,Overwatch eh maravilhoso :) vai toma no cu,
1.03E+18,Amo que os duetos são. É massa eles se divertindo cantando :),
1.03E+18,fingindo que tô cantando pra mamãe não me pegar chorando :D,
1.03E+18,gente,
1.03E+18,hoje tava tão bom pra dormir :)),
1.03E+18,falta pouco.... :),
1.03E+18,Hora de mais uma live no canal. Hoje vamos fazer o "desafio" Tomou Hit,
1.03E+18,Além do fato de ser muito ruim em Arena,
1.03E+18,eu espero q a ash seja muito feliz e que a cara esteja realmente fazendo bem pra ela :),
1.03E+18,Você se acha demais mlk — Com certeza,
1.03E+18,Uma boa noite a todos :) Gosto muito de vocês,
1.03E+18,Uma está em seu dedinho,
1.03E+18,porra altas marca de camisa saindo ai em bsb,
1.03E+18,Acho que morrer sozinho vai ser o ponto alto da minha vida :),
1.03E+18,te amo wonh9:( :( :(:(:(:(:(:((::((:(::(:(:((:(:(:(:(:(*:(:(:**:*:*:*:*:*:(:** *:**:*:*:(:(:(:():):*:**:*;*:**:,
1.03E+18,Poxa Dimadu nao foi dessa vez,
1.03E+18,Odeio vc :),
1.03E+18,"""Feminismo não é sobre seu bem-estar",
1.03E+18,Hora de desligar o pc e ir dormir :/ ,
1.03E+18,• não comente,
1.03E+18,Hoje em dia só como pipoca se for com pimenta ou maionese e ketchup :),
1.03E+18,E sim,
1.03E+18,Desculpa fazer pergunta meio óbvia,
1.03E+18,Só gostava de saber como é que vou acordar antes das novas nos próximos 17 dias :)),
1.03E+18,Quem quiser copiar,
1.03E+18,Qnd estou sensível se me sequer disserem alguma cena errada eu choro :) like tday,
1.03E+18,tenho prova de quimica quinta e n sei MERDA NENHUMA e como bônus tem de matemática tb :),
1.03E+18,se alguém de uberlândia quiser ir no dunamis eu vou com uma amiga. podemos ir juntos pra economizar no hotel :),
1.03E+18,Ah,
1.03E+18,prefiro a versão de que é “Deus te chamando para orar”,
1.03E+18,e tipo foi a mlr coisa que aconteceu pois hj tava no meio do meu ingles e bateu uma vontade de chorar pq percebi que minha vida estava sendo levada do jeito que a sociedade acha/ age. Juro a lição que vou tirar disso é que antes de amar alguém vc tem que se amar :),
1.03E+18,tem gente que admira o jungkook na mesma intensidade que eu? provavelmente até mais,
1.03E+18,na minha cabeça tá passando uma apresentação de slides com todas as coisas ruins que já falaram pra mim em relação a minha saúde mental. 100% destruída,
1.03E+18,Parte 1 concluída com sucesso :),
1.03E+18,To comendo arroz doce :),
1.03E+18,É o seguinte,
1.03E+18,que fofo você praticamente vestindo seus transtornos psicológicos na manga da blusa pra usar eles como adereço pra essa personalidade desinteressante que você tem :P,
1.03E+18,Desculpa minha consagrada Não sei que é nem quero saber Mas fique sabendo que eu sou O escanor,
1.03E+18,Fui peear e quando entrei no quarto encostei a porta. Ouvi um barulho e liguei a luz,
1.03E+18,n tem mts motivos pra eu tá me sentindo assim,
1.03E+18,Adoro quando acordo a estas horas e não consigo voltar a dormir :),
1.03E+18,Agora com esta coisa toda da nova expansão de WoW apetece-me mesmo começar a jogar. Pena é ser pobre :))))))))))))))))),
1.03E+18,#ACulpaEDoCabral ,
1.03E+18,ღ Harry Styles lockscreen ღ rt se salvar �️‍� ღ se usar manda print,
1.03E+18,Olho da Isa é lindo demais verdes igual o meu :) #thevoicebrasil,
1.03E+18,gravei em abril ou maio,
1.03E+18,Chora faz bem,
1.03E+18,Eai vai aproveitar os descontos?,
1.03E+18,Qual o seu videogame favorito? � — não tenho pq n jogo,
1.03E+18,Estamos assim :))))))))),
1.03E+18,Vim pro lolzinho um pouco,
1.03E+18,Mente vazia oficina do diabo é o popular jargão. Eu prefiro resumir o contexto a "quanto mais desafios,
1.03E+18,Vou ajudar a vox ativar sua DM,
1.03E+18,Eu me considero uma pessoa sistemática e eu sou assim Gosto das coisas feitas mas feitas com vontade,
1.03E+18,Vou ficar calada e quietinha,
1.03E+18,Agora simbora de #Siren :D #SirenNoSony,
1.03E+18,Tu é muito gente boa cara,
1.03E+18,Toda vez que eu jogo lol deixando o spotify no aleatório toca umas 1237128x a música Love Scenario do iKON e ela é tão legalzinha :D,
1.03E+18,Queria te chamar para conversar,
1.03E+18,vcs: pessoas diferentes se afetam com as coisas de forma diferente :) setembro amarelo! vcs tb: white people problems como que ta reclamando disso se vc tem tudo e mamae te sustenta que coisa cala a boca ai com a vida perfeita que eu acho que vc tem pelo que eu li do seu twitter,
1.03E+18,alegria da minha noite é lembrar que amanhã não tem aula :)),
1.03E+18,indignada q acabei de ver um filmezinho romantico ok final triste e simplesmente: crise de choro de mais de 20min :-),
1.03E+18,SUA SATISFAÇÃO GARANTIDA,
1.03E+18,ou pain ou t1 continua no circuitão :),
1.03E+18,Se você é fã de Doctor Who vai amar esse colar inspirado na cabine Tardis!! O frete dele é grátis e você encontra mais detalhes na nossa loja,
1.03E+18,terçou com T de to carente :),
1.03E+18,Quero que essa chuvinha caia pra eu dormir feliz :),
1.03E+18,eu queimei minha língua com pesica acústica 5 dizendo q tinha odiado mas não passo um dia sem ouvir :),
1.03E+18,pelo menos eu nao so emo :),
1.03E+18,O Spotify tinha que ter a opção bloquear música,
1.03E+18,deixei algumas coisas saírem do controle,
1.03E+18,oioioi :) n tem nada de errado ctg os outros q tem coisa errada para com essa palhaçada aí &gt;:( tiamu — tá bom,
1.03E+18,consegui entender a tarefa de física tô feliz :),
1.03E+18,Vou dormir,
1.03E+18,3 da manhã e eu a ver videos de tiny houses e de como ser minimalista e viver numa van :),
1.03E+18,vamo toma um açaí :) — eu juro,
1.03E+18,To em casa :),
1.03E+18,Oque adianta falar que quer alguém no seu 2019 se nada é como a gente quer. O tanto de gente q eu queria no meu 2018 que hoje eu não vejo nem a sombra :),
1.03E+18,Recife agora nas Batalhas do #TheVoiceBrasil! Boa sorte,
1.03E+18,me indica fics jk bottom ou jikook flex por favor ( de preferência no wattpad) obrigada desde já :) — no wattpad é complicadinho e eu tb não procuro muito,
1.03E+18,Sou muito irritante no WhatsApp,
1.03E+18,#PentagonNeedsEdawn PENTAGON = 10 10 - 1 = 0 :) Todos o nada.,
1.03E+18,vou dormir pois amanhã as bundas dos bozominions não serão chutadas sozinhas. boa noite :),
1.03E+18,Amanhã é mais um dia na mierda,
1.03E+18,Então aparentemente eles não eram a mesma pessoa,
1.03E+18,Se a CBB não confirma,
1.03E+18,ai galera eu sou muita feia e todo mundo que eu conheço concorda :),
1.03E+18,Vou transmitir Doom 2016 pelo.mixer agora. Quem quiser vir assistir... Tá convidado :) Não tenho microfone,
1.03E+18,Eu acho que a menina que tá ficando com meu ex deveria parar. rs pelo bem da nação :),
1.03E+18,Ae consegui,
1.03E+18,achei q essa noite eu receberia apoio dele mas ele cagou pra mim a noite toda :),
1.03E+18,Tive alta deep talk com o Monteiro,
1.03E+18,queria cortar o cabelo :p,
1.03E+18,Que bonito ver a mis sobrinas felices :),
1.03E+18,Ah que responsa,
1.03E+18,Uptade o reboque chegou e não chega la acima onde esta o carro :),
1.03E+18,Tô com tempo e nem disposição pra isso. Trauma? Também. Mas prefiro ficar quietinho :),
1.03E+18,tou em mood nhonhonho e a Rita tá no bingo :) vou me atirar da ponte já bolto,
1.03E+18,me dá seu wpp,
1.03E+18,conheci na ace,
1.03E+18,Muito gratificante ver nosso fandom unido por nossa Ariana,
1.03E+18,Alguém acordado? :),
1.03E+18,Tem um erro nessa formula que tira meu sono a dois dias... Se você entender do que eu estou falando,
1.03E+18,Mas como estou vivo,
1.03E+18,Paula e Jaque � gente adulta são outros 500 :),
1.03E+18,Estou a mexer no telemóvel e ele esta a carregar mas a bateria em vez de aumentar esta a baixar :)),
1.03E+18,meu pai deixou eu por piercing no hélix NAO TO ACREDITANDO AINDA (e mais tarde no nariz {argolinha}) :)))),
1.03E+18,Te vi esses dias nossa vc tá grávida? — Tô gorda mesmo ,
1.03E+18,MI- és muito gira mesmo ,
1.03E+18,Não,
1.03E+18,a unica coisa que me anima é me filho/a pq de resto ta tudo uma grande merda e eu sou um lixo que nao move um dedo pra mudar :),
1.03E+18,confesso aqui que sou um hipócrita do caralho,
1.03E+18,Mano,
1.03E+18,eu sou mt ridícula o menino veio me perguntar quanto eu cobrava pra fazer dreads e pá ai eu respondi e ele veio com a fatídica pergunta: - mas será que vai ficar bom? eu: olha se vc vai ficar bonito eu não posso afirmar mas o serviço vai ficar excelente :),
1.03E+18,JM- conheço-te lá da escola ,
1.03E+18,Vai rolar aquela churrascada amanhã :),
1.03E+18,eu simplesmente não consigo encontrar tempo para estudar :)),
1.03E+18,e se alguém ver isso e pensar que nossa deve ser um mar de rosas e meu deus so beijos e apelidos e textos fofos NÃO,
1.03E+18,dando conselhos sem ter nenhuma consciência do q to fazendo da minha vida :p,
1.03E+18,hoje eu chorei assistindo carrossel :),
1.03E+18,Sei cantar ela toda Estou muito feliz :),
1.03E+18,Mas com respeito,
1.03E+18,mais um pra lista de ranço :),
1.03E+18,Um dia corrido,
1.03E+18,mas se deus quiser a história não vai se repetir estou bem demais pra ficar me iludindo com besteira :),
1.03E+18,é meu amor,
1.03E+18,vou morgar porquê eu sou pra casar kk :p,
1.03E+18,TIM- és linda ,
1.03E+18,só queria um amigo pra ir no rodizio de sushi :),
1.03E+18,tem maionese temperada agora no subway :))),
1.03E+18,Estive 1 hora para um jogo de merda instalar,
1.03E+18,VOLVI! :D,
1.03E+18,Falem cmg :))),
1.03E+18,Tenho 3% de bateria :)),
1.03E+18,meu primeiro clipe,
1.03E+18,Eu amanha tenho de me levantar as 8.00 yeah :)),
1.03E+18,Vão no show da Marília Mendonça? :),
1.03E+18,D luca e Gabriel quero no meu time isso sim :))),
1.03E+18,Acho que nem todas,
1.03E+18,Algum ser lindo e maravilhoso manda umas perguntinhas pra,
1.03E+18,E qnd a gnt encontra algo q sabota nossa felicidade,
1.03E+18,A gente ri pra não falar umas verdades :),
1.03E+18,Hoje ganhei uma aposta e gastei o dinheiro todo no casino :))),
1.03E+18,Um recurso dahora que está faltando nas redes sociais são as mensagens programadas,
1.03E+18,Aparentemente a internet caiu e to banido do overwatch por 2horas :),
1.03E+18,Seguinte,
1.03E+18,� nunca cheguei a conversar cntg p saber sobre vc mas acho q eh uma pessoa legal no fim das contas :-),
1.03E+18,tô triste :p,
1.03E+18,Não é como se eu n já estivesse acostumada com isso pq n é a primeira vez acontece por isso odeio festas :),
1.03E+18,Essa musica deixou tamara mto confortável. Maaas,
1.03E+18,Eu chorei,
1.03E+18,alguém fala comigo :),
1.03E+18,minha mae briga comigo ai ela me bloqueia e passa o dia inteiro sem falar comigo depois de noite ela me desbloqueia so pra voltar pra briga :),
1.03E+18,Meu sonho é ter um furão,
1.03E+18,Fala aí minha Gente. Voltei pra avisar que a vida tá corrida de novo. To me mudando e por isso sumi. Em breve to de volta :),
1.03E+18,indo dormir feliz demais :) ❤️,
1.03E+18,só sei q vou ter um bom grupo de amigos comigo,
1.03E+18,Precisamos de inspiração. Ou melhor... Eu preciso de inspiração (:),
1.03E+18,Bloquear a Sofia me da paz :),
1.03E+18,segundo dia de aula e escrevi um tutorial pra tomar banho :),
1.03E+18,Para,
1.03E+18,Quase 4 da manhã e eu a ver vídeos de andebol porque a minha vida não dá para mais :),
1.03E+18,amanha faz um mes :-),
1.03E+18,Fui para o natura e o telemóvel estava sem bateria,
1.03E+18,se Deus quiser vou achar o material certo p fazer esses trem :))),
1.03E+18,um hora vai :)))),
1.03E+18,em vez de fazer a palmilha e melhor comprar mesmo :)),
1.03E+18,Adooruuu tua bunda! Tem mais bunda que eu Sjskjsks' :P — Kkkkkkkkkkk bha,
1.03E+18,tô aceitando doação de memes :),
1.03E+18,Melhores amigas? — Vitória Reis,
1.03E+18,Assistir um filme no Netflix e dormir. Boa noite a todos :),
1.03E+18,meu primeiro clipe,
1.03E+18,tipo,
1.03E+18,Acabei de ganhar um Minecraft Original na LojaBolada,
1.03E+18,Então pessoal,
1.03E+18,Boa noite!! Como foi o seu dia? :) #MTVHottest Demi Lovato,
1.03E+18,puta dia estressante,
1.03E+18,Queria muito ser próximo de ti,
1.03E+18,Manda um sinal pro tempo acelerar e depois parar para sempre :),
1.03E+18,depositem dinheiro na minha conta :)),
1.03E+18,Bailinhos a surgir :),
1.03E+18,Vou parar de querer mexer nesse treco e só renderizar mesmo :)))))))))),
1.03E+18,incrível!! amanhã irei dormir ate tarde :)))),
1.03E+18,Por isso que é a melhor fase né... haha Que show está esse #TheVoiceBrasil hoje... Batalhas Épicas...:),
1.03E+18,Não se sinta só,
1.03E+18,Falta só 2 pessoas pra minha foto no insta bater 100 curtidas vai lá quem não curtiu :),
1.03E+18,Pra mim é uma honra vocês não gostarem de mim :),
1.03E+18,Vocês tb salvam as coisas que pretendem comprar no Instagram?! :D,
1.03E+18,Pra quem ta vindo chorar no tweet do plano de governo do bonorozaro chora aí na sua casa nao precisa chorar na internet não. E o block é cortesia da casa :),
1.03E+18,André Alexandre vou-te abandonar Te amo :),
1.03E+18,Olá pessoal,
1.03E+18,Vi prováveis spoilers da 8ª temporada de GOT,
1.03E+18,Não necessariamente da cube kkkk falei cube pelas notícias de namoro que vazaram na mídia últimamente. Pode ser qualquer idol t... — então eu e o minho,
1.03E+18,Gosto de falar abertamente sobre qlq tema e com isso aprender sempre mais :)),
1.03E+18,foo :) : cafa700a-d534-430f-b53e-101e2ae1d6fd,
1.03E+18,Gente,
1.03E+18,fiz um cover rapidinho de Yellow no piano por causa do meu pai,
1.03E+18,não é quesito seu corpo bnt e escutural,
1.03E+18,to ate vendo que toda a escola vai faltar amanhã e eu vou ser obrigada a ir :),
1.03E+18,baixei a segunda temporada toda de the bold type daí o carregador do notebook parou de funcionar :),
1.03E+18,estou feliz :),
1.03E+18,sejam lá queridos p mim :),
1.03E+18,Boa noite a todos :-) ♥,
1.03E+18,todas do coldplay eu choro :),
1.03E+18,Como eu faço pra te conhecer? — primeiramente,
1.03E+18,inclusive pode me dar esse album ai mesmo :),
1.03E+18,exclui a brincadeira :),
1.03E+18,Ai meu Jesus,
1.03E+18,a vida é tão justa que eu sou a primeira a sair de manha e a ultima a chegar a noite :),
1.03E+18,Verdade seja dita,
1.03E+18,É melhor ser “o chato(a)” do que ser fútil :),
1.03E+18,eu fico com o murilo :),
1.03E+18,Eu detesto-te inteiramente do fundo do meu coração :),
1.03E+18,Além de ser melhor ser antiquado ao invés de perder seus valores para uma padronização tola :),
1.03E+18,tô com mais manchas na pele :) que delícia minha baixa auto estima tá super feliz agr,
1.03E+18,Fodi-me no dedo que parti a uns tempos :),
1.03E+18,Meu dia já n tava muito bom,
1.03E+18,wow que incrível :),
1.03E+18,Minha mente: vc nunca vai conhecer Kevinho Eu: :) só :) ter :) fé :),
1.03E+18,Amanhã primeira provinha básica. Meu prof lindo resolveu fazer 5 no semestre :))),
1.03E+18,Saudades das nossas cvs aleatória hahahha — Pois eu adoro conversas aleatórias,
1.03E+18,Eu não sei lidar com a saudade :),
1.03E+18,caralho daqui a um mês e meio ja faço um ano de namoro e parece que ainda ontem fomos sair pela primeira vez ao cinema e q despejei o sumo todo em cima de mim :),
1.03E+18,eu to escutando direto a sua playlist então eu sinto que deveria retribuir :D uma banda que eu gosto demais se chama the paper... — vou ouvir � obrigado por ouvir as minhas musicas,
1.03E+18,dormi de tarde e agora n tenho mais twnto sono e de bonus ansiedade :):):),
1.03E+18,lotando a larissa de áudio que não tem fundamento nenhum e nem passa uma informação :D,
1.03E+18,quem esta comigo nessa mesa por muitos anos chamei de princesa,
